Epoch,Step,Loss
0,0,3.783744
0,1,3.755046
0,2,4.221697
0,3,2.541421
0,4,3.219664
0,5,3.578390
0,6,4.579763
0,7,3.581398
0,8,3.402098
0,9,3.353053
0,10,4.163616
0,11,3.090074
0,12,3.456041
0,13,2.682597
0,14,2.701672
0,15,2.297811
0,16,3.028889
0,17,3.654549
0,18,3.063544
0,19,3.576826
0,20,3.117688
0,21,3.010302
0,22,3.226473
0,23,3.327910
0,24,3.231180
0,25,2.612517
0,26,2.819544
1,0,2.751844
1,1,2.902297
1,2,3.098599
1,3,3.024318
1,4,2.885733
1,5,2.882025
1,6,3.182294
1,7,2.253373
1,8,2.769387
1,9,2.242559
1,10,2.181679
1,11,2.527647
1,12,2.705089
1,13,1.483408
1,14,2.324441
1,15,2.096969
1,16,2.829055
1,17,2.205429
1,18,1.841576
1,19,2.365725
1,20,2.827663
1,21,2.661396
1,22,2.443201
1,23,2.651620
1,24,2.285870
1,25,2.175225
1,26,2.223400
2,0,2.270472
2,1,2.123973
2,2,2.443415
2,3,2.307617
2,4,2.817311
2,5,2.151849
2,6,2.452298
2,7,2.103288
2,8,2.499380
2,9,1.869932
2,10,2.269205
2,11,2.256918
2,12,2.237876
2,13,2.202896
2,14,2.201400
2,15,2.201023
2,16,2.255521
2,17,2.244982
2,18,2.293911
2,19,2.278614
2,20,2.758770
2,21,2.444860
2,22,2.503329
2,23,1.911402
2,24,2.072572
2,25,2.633444
2,26,2.183669
3,0,2.161083
3,1,2.230050
3,2,2.568936
3,3,2.273485
3,4,2.016009
3,5,2.220476
3,6,2.140239
3,7,2.222522
3,8,1.761095
3,9,2.129825
3,10,2.079196
3,11,1.872490
3,12,2.769303
3,13,2.279362
3,14,2.200243
3,15,2.133491
3,16,2.684472
3,17,2.656492
3,18,1.881575
3,19,2.338401
3,20,1.985126
3,21,1.782215
3,22,1.929970
3,23,2.331703
3,24,1.850580
3,25,2.308475
3,26,2.279585
4,0,1.891018
4,1,1.970482
4,2,1.741834
4,3,2.237354
4,4,2.359449
4,5,1.994741
4,6,1.872366
4,7,2.222400
4,8,1.703627
4,9,1.744361
4,10,2.000389
4,11,1.742741
4,12,1.959262
4,13,1.525868
4,14,1.884067
4,15,2.082655
4,16,1.928583
4,17,1.970478
4,18,1.908949
4,19,1.624649
4,20,1.546281
4,21,1.506447
4,22,1.546798
4,23,1.607418
4,24,1.532948
4,25,2.251433
4,26,1.944300
5,0,1.144679
5,1,1.653860
5,2,1.466552
5,3,1.387011
5,4,1.369211
5,5,1.173880
5,6,1.471177
5,7,1.140471
5,8,1.527193
5,9,1.327935
5,10,1.399537
5,11,1.510531
5,12,1.462415
5,13,1.407015
5,14,1.353862
5,15,1.266079
5,16,1.547838
5,17,1.475027
5,18,1.310722
5,19,1.266155
5,20,1.367163
5,21,1.343626
5,22,0.801343
5,23,2.307086
5,24,1.442105
5,25,1.089744
5,26,1.236993
6,0,1.184234
6,1,1.024012
6,2,1.255638
6,3,1.216654
6,4,1.238886
6,5,1.033825
6,6,1.194444
6,7,1.051418
6,8,0.954329
6,9,0.757903
6,10,1.025328
6,11,1.833238
6,12,1.072288
6,13,1.232503
6,14,1.019164
6,15,1.236651
6,16,1.222748
6,17,0.908811
6,18,0.843132
6,19,1.011925
6,20,1.243711
6,21,1.267064
6,22,1.610173
6,23,0.899382
6,24,1.213566
6,25,1.248150
6,26,1.502420
7,0,1.295053
7,1,0.817643
7,2,0.821918
7,3,1.269635
7,4,1.185020
7,5,1.182239
7,6,1.021573
7,7,1.011251
7,8,1.018247
7,9,1.056743
7,10,1.121069
7,11,1.148239
7,12,0.766568
7,13,1.162161
7,14,1.384134
7,15,1.145022
7,16,1.067017
7,17,0.939401
7,18,0.977202
7,19,0.896239
7,20,0.826934
7,21,1.330308
7,22,0.834105
7,23,1.151026
7,24,0.931656
7,25,1.065304
7,26,1.155964
8,0,0.774164
8,1,0.746410
8,2,0.990064
8,3,0.618776
8,4,1.025571
8,5,1.006327
8,6,0.507117
8,7,1.060388
8,8,0.913898
8,9,1.073766
8,10,0.830588
8,11,1.114563
8,12,0.836517
8,13,1.432456
8,14,1.352957
8,15,1.062819
8,16,0.510276
8,17,0.720585
8,18,0.894627
8,19,1.611253
8,20,0.666742
8,21,1.015340
8,22,1.080868
8,23,1.006412
8,24,1.005763
8,25,1.081206
8,26,1.485321
9,0,1.170816
9,1,0.781020
9,2,0.862169
9,3,0.815379
9,4,0.711625
9,5,0.862100
9,6,0.704541
9,7,0.964728
9,8,0.959525
9,9,0.961889
9,10,0.727051
9,11,0.699954
9,12,0.675635
9,13,0.971192
9,14,0.980775
9,15,0.539297
9,16,0.556432
9,17,0.781298
9,18,0.824170
9,19,0.822431
9,20,0.850493
9,21,1.012602
9,22,1.030508
9,23,0.891804
9,24,0.692118
9,25,0.969793
9,26,0.885975
10,0,0.696235
10,1,0.647055
10,2,0.688562
10,3,0.578293
10,4,0.951542
10,5,0.935484
10,6,0.623792
10,7,0.804807
10,8,0.939478
10,9,1.026038
10,10,0.849160
10,11,0.772243
10,12,0.622047
10,13,1.114991
10,14,0.942735
10,15,0.690074
10,16,1.071369
10,17,0.857986
10,18,0.586054
10,19,0.601022
10,20,1.270801
10,21,0.883807
10,22,1.122223
10,23,0.506098
10,24,0.620867
10,25,0.666688
10,26,0.793242
11,0,0.980118
11,1,0.885019
11,2,0.478205
11,3,0.781784
11,4,0.668852
11,5,0.580867
11,6,0.803826
11,7,0.911972
11,8,0.579598
11,9,0.937105
11,10,0.651706
11,11,0.945385
11,12,0.977397
11,13,0.988865
11,14,0.468183
11,15,0.731217
11,16,0.370150
11,17,0.888979
11,18,0.602649
11,19,0.783843
11,20,0.661394
11,21,0.779419
11,22,0.856366
11,23,1.007566
11,24,0.867837
11,25,0.581649
11,26,0.404320
12,0,0.458297
12,1,0.779090
12,2,0.460717
12,3,0.885183
12,4,1.049658
12,5,0.735596
12,6,0.968863
12,7,0.783252
12,8,0.542523
12,9,0.628304
12,10,0.715970
12,11,0.413359
12,12,0.660969
12,13,0.391799
12,14,1.055766
12,15,0.500873
12,16,0.885869
12,17,0.636955
12,18,0.633022
12,19,0.591549
12,20,0.837810
12,21,0.746770
12,22,0.517320
12,23,1.089933
12,24,0.782786
12,25,0.707403
12,26,0.510271
13,0,0.558681
13,1,0.487726
13,2,0.674989
13,3,0.475468
13,4,0.486947
13,5,0.524548
13,6,0.892581
13,7,0.432008
13,8,0.477053
13,9,0.532843
13,10,0.650556
13,11,1.071944
13,12,0.442552
13,13,0.873012
13,14,0.550065
13,15,0.715546
13,16,0.653902
13,17,0.660401
13,18,0.597174
13,19,0.687533
13,20,0.794906
13,21,0.530859
13,22,0.543317
13,23,0.869844
13,24,0.877248
13,25,0.780117
13,26,1.018487
14,0,0.804059
14,1,0.536197
14,2,0.414403
14,3,0.494608
14,4,0.312971
14,5,0.699123
14,6,0.879028
14,7,0.751796
14,8,0.695120
14,9,0.597438
14,10,0.823248
14,11,0.466045
14,12,0.727310
14,13,0.540529
14,14,0.649481
14,15,0.679619
14,16,0.624063
14,17,0.745311
14,18,0.664808
14,19,0.924582
14,20,0.651843
14,21,0.741394
14,22,0.705046
14,23,0.517354
14,24,0.609710
14,25,0.658077
14,26,0.463746
15,0,0.495846
15,1,0.671078
15,2,0.880876
15,3,0.784976
15,4,0.477103
15,5,0.403621
15,6,0.779784
15,7,0.808170
15,8,0.442986
15,9,0.687236
15,10,0.448048
15,11,0.744531
15,12,0.691406
15,13,0.686125
15,14,0.646468
15,15,0.807935
15,16,0.549747
15,17,0.560746
15,18,0.410275
15,19,0.437025
15,20,0.565392
15,21,0.448053
15,22,0.633877
15,23,0.691981
15,24,0.727738
15,25,0.594040
15,26,0.381200
16,0,0.460174
16,1,0.285918
16,2,0.570791
16,3,0.420055
16,4,0.676119
16,5,0.436727
16,6,0.759949
16,7,0.479122
16,8,0.728776
16,9,0.435217
16,10,0.592585
16,11,0.454998
16,12,0.499476
16,13,0.584609
16,14,0.686936
16,15,0.476669
16,16,0.604501
16,17,0.437089
16,18,1.020585
16,19,0.676747
16,20,0.561359
16,21,0.744134
16,22,0.338393
16,23,0.629668
16,24,0.542370
16,25,0.309344
16,26,0.838400
17,0,0.519909
17,1,0.467880
17,2,0.820821
17,3,0.450966
17,4,0.481453
17,5,0.406085
17,6,0.529632
17,7,0.382826
17,8,0.463464
17,9,0.482924
17,10,0.557330
17,11,0.657276
17,12,0.581801
17,13,0.499596
17,14,0.494919
17,15,0.396027
17,16,0.687915
17,17,0.400805
17,18,0.616507
17,19,0.777386
17,20,0.435228
17,21,0.547113
17,22,0.482021
17,23,0.483451
17,24,0.468271
17,25,0.721453
17,26,0.756834
18,0,0.524277
18,1,0.451422
18,2,0.235225
18,3,0.251786
18,4,0.555382
18,5,0.707080
18,6,0.650140
18,7,0.514546
18,8,0.595956
18,9,0.537636
18,10,0.848088
18,11,0.637029
18,12,0.664939
18,13,0.439442
18,14,0.552115
18,15,0.697468
18,16,0.338992
18,17,0.572476
18,18,0.303618
18,19,0.411662
18,20,0.644901
18,21,0.485795
18,22,0.625949
18,23,0.616836
18,24,0.463046
18,25,0.544568
18,26,0.695074
19,0,0.545663
19,1,0.613626
19,2,0.555882
19,3,0.482327
19,4,0.427498
19,5,0.579269
19,6,0.505213
19,7,0.496986
19,8,0.668332
19,9,0.457619
19,10,0.393330
19,11,0.537937
19,12,0.347753
19,13,0.389978
19,14,0.481930
19,15,0.354778
19,16,0.391176
19,17,0.442403
19,18,0.418337
19,19,0.551702
19,20,0.470416
19,21,0.432608
19,22,0.859850
19,23,0.377244
19,24,0.625644
19,25,0.462229
19,26,0.355465
20,0,0.508635
20,1,0.700628
20,2,0.543129
20,3,0.534194
20,4,0.464645
20,5,0.554420
20,6,0.526727
20,7,0.425881
20,8,0.464294
20,9,0.594099
20,10,0.367431
20,11,0.421561
20,12,0.532013
20,13,0.545718
20,14,0.383820
20,15,0.506904
20,16,0.277977
20,17,0.414295
20,18,0.380315
20,19,0.394985
20,20,0.590925
20,21,0.431279
20,22,0.536961
20,23,0.336316
20,24,0.435356
20,25,0.500800
20,26,0.498545
21,0,0.661166
21,1,0.430521
21,2,0.354177
21,3,0.371693
21,4,0.694281
21,5,0.592776
21,6,0.456463
21,7,0.436909
21,8,0.375666
21,9,0.487897
21,10,0.327512
21,11,0.365788
21,12,0.485212
21,13,0.359871
21,14,0.628486
21,15,0.673734
21,16,0.378685
21,17,0.447622
21,18,0.577329
21,19,0.378877
21,20,0.325231
21,21,0.372904
21,22,0.655636
21,23,0.344951
21,24,0.449188
21,25,0.324040
21,26,0.229213
22,0,0.723287
22,1,0.466982
22,2,0.496327
22,3,0.441093
22,4,0.592550
22,5,0.325011
22,6,0.505149
22,7,0.331470
22,8,0.271844
22,9,0.385862
22,10,0.516126
22,11,0.335573
22,12,0.387121
22,13,0.404399
22,14,0.351764
22,15,0.424176
22,16,0.338505
22,17,0.649290
22,18,0.655308
22,19,0.469470
22,20,0.318600
22,21,0.281791
22,22,0.419652
22,23,0.430143
22,24,0.360699
22,25,0.526392
22,26,0.361196
23,0,0.556236
23,1,0.491979
23,2,0.370478
23,3,0.489196
23,4,0.291297
23,5,0.418538
23,6,0.377739
23,7,0.425389
23,8,0.505241
23,9,0.480815
23,10,0.409322
23,11,0.285038
23,12,0.553589
23,13,0.350914
23,14,0.399985
23,15,0.452085
23,16,0.433638
23,17,0.369488
23,18,0.325305
23,19,0.209379
23,20,0.740295
23,21,0.481566
23,22,0.450580
23,23,0.365663
23,24,0.541609
23,25,0.306428
23,26,0.569642
24,0,0.234851
24,1,0.733149
24,2,0.449978
24,3,0.251819
24,4,0.426308
24,5,0.527370
24,6,0.434763
24,7,0.363623
24,8,0.413431
24,9,0.643614
24,10,0.356014
24,11,0.429612
24,12,0.337530
24,13,0.694290
24,14,0.485150
24,15,0.338487
24,16,0.283942
24,17,0.496960
24,18,0.376958
24,19,0.421899
24,20,0.287582
24,21,0.504603
24,22,0.463337
24,23,0.409113
24,24,0.538221
24,25,0.417937
24,26,0.606871
25,0,0.394133
25,1,0.475483
25,2,0.481342
25,3,0.362979
25,4,0.529564
25,5,0.234722
25,6,0.411542
25,7,0.376100
25,8,0.398904
25,9,0.318589
25,10,0.502534
25,11,0.367481
25,12,0.384050
25,13,0.510636
25,14,0.337249
25,15,0.406698
25,16,0.467033
25,17,0.324126
25,18,0.369164
25,19,0.306246
25,20,0.310806
25,21,0.277560
25,22,0.550917
25,23,0.448348
25,24,0.394319
25,25,0.306629
25,26,0.450855
26,0,0.559089
26,1,0.429207
26,2,0.437061
26,3,0.317895
26,4,0.349472
26,5,0.500927
26,6,0.250139
26,7,0.222690
26,8,0.359879
26,9,0.338076
26,10,0.252125
26,11,0.502839
26,12,0.412063
26,13,0.280886
26,14,0.380635
26,15,0.379322
26,16,0.427752
26,17,0.320943
26,18,0.523795
26,19,0.351099
26,20,0.520768
26,21,0.363090
26,22,0.240278
26,23,0.598141
26,24,0.378915
26,25,0.271913
26,26,0.269598
27,0,0.610174
27,1,0.408629
27,2,0.323468
27,3,0.289399
27,4,0.365727
27,5,0.428189
27,6,0.476066
27,7,0.367593
27,8,0.522971
27,9,0.247405
27,10,0.360957
27,11,0.359987
27,12,0.382161
27,13,0.399077
27,14,0.209428
27,15,0.370058
27,16,0.381383
27,17,0.392092
27,18,0.376145
27,19,0.512214
27,20,0.168242
27,21,0.674736
27,22,0.393345
27,23,0.475791
27,24,0.471237
27,25,0.438904
27,26,0.209737
28,0,0.388639
28,1,0.615477
28,2,0.452121
28,3,0.484049
28,4,0.582271
28,5,0.290193
28,6,0.317256
28,7,0.415358
28,8,0.365614
28,9,0.316503
28,10,0.415700
28,11,0.342974
28,12,0.343622
28,13,0.199849
28,14,0.341713
28,15,0.511625
28,16,0.325575
28,17,0.361393
28,18,0.400596
28,19,0.432407
28,20,0.342096
28,21,0.318880
28,22,0.513283
28,23,0.384458
28,24,0.257052
28,25,0.263504
28,26,0.433289
29,0,0.582889
29,1,0.346351
29,2,0.320412
29,3,0.410551
29,4,0.263179
29,5,0.270806
29,6,0.312907
29,7,0.302778
29,8,0.446614
29,9,0.242019
29,10,0.468926
29,11,0.518359
29,12,0.261875
29,13,0.291831
29,14,0.466265
29,15,0.544280
29,16,0.370343
29,17,0.324456
29,18,0.394941
29,19,0.441918
29,20,0.360416
29,21,0.397713
29,22,0.260553
29,23,0.216045
29,24,0.183000
29,25,0.326935
29,26,0.438664
30,0,0.404708
30,1,0.253892
30,2,0.294993
30,3,0.246429
30,4,0.383804
30,5,0.289164
30,6,0.422912
30,7,0.403454
30,8,0.447058
30,9,0.146781
30,10,0.331768
30,11,0.367422
30,12,0.415001
30,13,0.398404
30,14,0.591585
30,15,0.353603
30,16,0.376395
30,17,0.377368
30,18,0.323492
30,19,0.267038
30,20,0.391315
30,21,0.349445
30,22,0.355971
30,23,0.470201
30,24,0.283833
30,25,0.217680
30,26,0.432543
31,0,0.407501
31,1,0.456383
31,2,0.414499
31,3,0.291830
31,4,0.349754
