Epoch,Train Loss,Valid Loss,Test Acc,Test MAE,Test Corr,Test F1 Score
0,3.299167,3.276678,0.566412,1.424920,0.041200,0.457097
1,2.511919,2.628201,0.479389,1.505182,0.192926,0.379348
2,2.295923,2.540552,0.496183,1.463898,0.307830,0.409923
3,2.188385,2.362646,0.581679,1.342675,0.333483,0.564881
4,1.862996,1.810266,0.685496,1.185450,0.521393,0.684942
5,1.379600,1.393405,0.793893,1.002178,0.682934,0.794767
6,1.159318,1.366994,0.806107,0.976028,0.711076,0.807099
7,1.058580,1.266526,0.813740,0.949690,0.734692,0.814790
8,0.978695,1.306069,0.816794,0.880450,0.747198,0.816794
9,0.840938,1.279660,0.827481,0.879345,0.745702,0.827678
10,0.809729,1.277967,0.815267,0.893652,0.751086,0.815892
11,0.747195,1.226980,0.825954,0.844722,0.757114,0.825954
12,0.702589,1.237947,0.818321,0.863758,0.759525,0.819043
13,0.661493,1.260567,0.819847,0.859840,0.756018,0.820368
14,0.643589,1.206161,0.816794,0.872788,0.756096,0.817747
15,0.609491,1.207484,0.818321,0.834465,0.764274,0.818991
16,0.564841,1.193190,0.822901,0.818053,0.766839,0.823141
17,0.539626,1.245654,0.822901,0.854789,0.760112,0.823790
18,0.539461,1.196662,0.812214,0.884824,0.751322,0.813300
19,0.489822,1.197440,0.825954,0.830141,0.759501,0.826115
20,0.476735,1.223764,0.816794,0.841749,0.762427,0.817638
21,0.451327,1.229881,0.822901,0.842418,0.761622,0.823755
22,0.435918,1.196868,0.819847,0.845720,0.757802,0.820634
23,0.431535,1.190428,0.825954,0.829100,0.760426,0.826331
24,0.441756,1.183018,0.818321,0.861097,0.757097,0.819250
25,0.396223,1.182236,0.821374,0.830277,0.761199,0.822033
26,0.379207,1.237912,0.812214,0.848483,0.760154,0.813057
27,0.393152,1.246726,0.822901,0.829005,0.762880,0.823528
28,0.385759,1.239116,0.819847,0.839483,0.763605,0.820716
29,0.361668,1.199141,0.818321,0.826194,0.765018,0.818991
30,0.355417,1.273180,0.824427,0.826426,0.764319,0.825022
31,0.359185,1.202593,0.818321,0.832513,0.762564,0.819091
32,0.324601,1.235310,0.827481,0.817392,0.764560,0.827821
33,0.352326,1.199651,0.816794,0.825010,0.763547,0.817442
34,0.336552,1.263065,0.822901,0.823632,0.763248,0.823472
35,0.330797,1.258518,0.818321,0.836029,0.761360,0.819136
36,0.338038,1.275029,0.816794,0.833068,0.761640,0.817547
37,0.334972,1.281676,0.819847,0.828926,0.762191,0.820485
38,0.361334,1.227386,0.821374,0.827736,0.762340,0.821979
39,0.340648,1.236476,0.821374,0.827736,0.762340,0.821979
