--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0b2 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/utils/_device.py:79: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /home/local_ci_env/workspace/torch-sdaa-build_pt2.4.0/torch/include/ATen/native/IndexingUtils.h:27.)
  return func(*args, **kwargs)
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/utils/_device.py:79: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /root/pytorch/aten/src/ATen/native/IndexingUtils.h:27.)
  return func(*args, **kwargs)
/root/miniconda3/envs/torch_env_py310/lib/python3.10/site-packages/torch/autograd/graph.py:768: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at /root/pytorch/aten/src/ATen/native/IndexingUtils.h:27.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
==========Options============
num_workers: 0
batch_size: 2
max_epoch: 200
start_epoch: 0
lr: 0.0001
cuda: True
n_disk: 15
output_dir: output
input_size: 512
max_annotation: 200
max_points: 20
use_hard: True
tr_thresh: 0.6
tcl_thresh: 0.4
post_process_expand: 0.3
post_process_merge: False
exp_name: total-text
net: vgg
dataset: total-text
resume: None
mgpu: False
save_dir: ./save/
vis_dir: ./vis/
log_dir: ./logs/
loss: CrossEntropyLoss
input_channel: 1
pretrain: False
verbose: True
viz: True
start_iter: 0
lr_adjust: fix
stepvalues: []
weight_decay: 0.0
gamma: 0.1
momentum: 0.9
optim: SGD
display_freq: 50
viz_freq: 50
save_freq: 10
log_freq: 100
val_freq: 100
rescale: 255.0
means: [0.485, 0.456, 0.406]
stds: [0.229, 0.224, 0.225]
checkepoch: -1
img_root: None
device: cuda
=============End=============
Start training TextSnake.
Epoch: 0 : LR = 0.0001
(0 / 628) - Loss: 2.8988
(1 / 628) - Loss: 2.6400
(2 / 628) - Loss: 3.0180
(3 / 628) - Loss: 2.7515
(4 / 628) - Loss: 3.1060
(5 / 628) - Loss: 3.1993
(6 / 628) - Loss: 2.8929
(7 / 628) - Loss: 2.9503
(8 / 628) - Loss: 3.2199
(9 / 628) - Loss: 2.8767
(10 / 628) - Loss: 2.9217
(11 / 628) - Loss: 3.0400
(12 / 628) - Loss: 2.5891
(13 / 628) - Loss: 3.1850
(14 / 628) - Loss: 3.0533
(15 / 628) - Loss: 2.7160
(16 / 628) - Loss: 2.8278
(17 / 628) - Loss: 3.0318
(18 / 628) - Loss: 2.7423
(19 / 628) - Loss: 3.0452
(20 / 628) - Loss: 2.7744
(21 / 628) - Loss: 2.7008
(22 / 628) - Loss: 2.9517
(23 / 628) - Loss: 2.9232
(24 / 628) - Loss: 3.2083
(25 / 628) - Loss: 2.8039
(26 / 628) - Loss: 3.3615
(27 / 628) - Loss: 2.8147
(28 / 628) - Loss: 2.8832
(29 / 628) - Loss: 3.0468
(30 / 628) - Loss: 2.9435
(31 / 628) - Loss: 2.9890
(32 / 628) - Loss: 2.9923
(33 / 628) - Loss: 2.8746
(34 / 628) - Loss: 2.6932
(35 / 628) - Loss: 3.0698
(36 / 628) - Loss: 3.1621
(37 / 628) - Loss: 2.8891
(38 / 628) - Loss: 2.6399
(39 / 628) - Loss: 3.1223
(40 / 628) - Loss: 3.0934
(41 / 628) - Loss: 3.0312
(42 / 628) - Loss: 2.6988
(43 / 628) - Loss: 2.9971
(44 / 628) - Loss: 3.0200
(45 / 628) - Loss: 2.8678
(46 / 628) - Loss: 2.8999
(47 / 628) - Loss: 2.7361
(48 / 628) - Loss: 2.9940
(49 / 628) - Loss: 2.5194
(50 / 628) - Loss: 2.4991
(51 / 628) - Loss: 2.8567
(52 / 628) - Loss: 2.9887
(53 / 628) - Loss: 3.1474
(54 / 628) - Loss: 2.9365
(55 / 628) - Loss: 2.6885
(56 / 628) - Loss: 3.0240
(57 / 628) - Loss: 2.5527
(58 / 628) - Loss: 2.6923
(59 / 628) - Loss: 3.0156
(60 / 628) - Loss: 2.4483
(61 / 628) - Loss: 2.4403
(62 / 628) - Loss: 2.6135
(63 / 628) - Loss: 2.6155
(64 / 628) - Loss: 2.8780
(65 / 628) - Loss: 2.6101
(66 / 628) - Loss: 2.8451
(67 / 628) - Loss: 2.5752
(68 / 628) - Loss: 3.5125
(69 / 628) - Loss: 2.8761
(70 / 628) - Loss: 2.8509
(71 / 628) - Loss: 3.2884
(72 / 628) - Loss: 2.2903
(73 / 628) - Loss: 3.2596
(74 / 628) - Loss: 2.3421
(75 / 628) - Loss: 2.8992
(76 / 628) - Loss: 3.0975
(77 / 628) - Loss: 2.7933
(78 / 628) - Loss: 2.5052
(79 / 628) - Loss: 3.2031
(80 / 628) - Loss: 2.6912
(81 / 628) - Loss: 2.9637
(82 / 628) - Loss: 3.2868
(83 / 628) - Loss: 2.6835
(84 / 628) - Loss: 2.6027
