INFO train_amp.py(360): iter: 1/150000, lr: 0.000055, eta: 8 days, 19:46:46, time: 10.17, loss: 40.6200, loss_pre: 12.9174, loss_aux0: 3.8721, loss_aux1: 4.0706, loss_aux2: 6.6194, loss_aux3: 13.1405
INFO train_amp.py(360): iter: 2/150000, lr: 0.000055, eta: 9 days, 11:16:41, time: 6.20, loss: 39.2560, loss_pre: 12.8459, loss_aux0: 3.1268, loss_aux1: 3.1443, loss_aux2: 7.3265, loss_aux3: 12.8125
INFO train_amp.py(360): iter: 3/150000, lr: 0.000055, eta: 9 days, 20:13:02, time: 6.31, loss: 38.8080, loss_pre: 12.0452, loss_aux0: 3.1074, loss_aux1: 3.4562, loss_aux2: 7.0571, loss_aux3: 13.1421
INFO train_amp.py(360): iter: 4/150000, lr: 0.000056, eta: 10 days, 0:45:05, time: 6.21, loss: 30.0887, loss_pre: 7.4228, loss_aux0: 3.0291, loss_aux1: 2.6641, loss_aux2: 6.7359, loss_aux3: 10.2367
INFO train_amp.py(360): iter: 5/150000, lr: 0.000056, eta: 10 days, 3:55:27, time: 6.24, loss: 31.7156, loss_pre: 8.4104, loss_aux0: 3.0767, loss_aux1: 3.1083, loss_aux2: 6.6415, loss_aux3: 10.4786
INFO train_amp.py(360): iter: 6/150000, lr: 0.000056, eta: 10 days, 6:28:04, time: 6.28, loss: 34.6497, loss_pre: 9.4966, loss_aux0: 3.1020, loss_aux1: 3.4419, loss_aux2: 6.1926, loss_aux3: 12.4166
INFO train_amp.py(360): iter: 7/150000, lr: 0.000056, eta: 10 days, 8:27:01, time: 6.30, loss: 28.1111, loss_pre: 7.3988, loss_aux0: 3.3562, loss_aux1: 3.0934, loss_aux2: 6.2029, loss_aux3: 8.0599
INFO train_amp.py(360): iter: 8/150000, lr: 0.000056, eta: 10 days, 9:39:57, time: 6.23, loss: 27.5229, loss_pre: 6.8424, loss_aux0: 3.0733, loss_aux1: 2.8194, loss_aux2: 6.1622, loss_aux3: 8.6256
INFO train_amp.py(360): iter: 9/150000, lr: 0.000056, eta: 10 days, 10:58:01, time: 6.30, loss: 27.8610, loss_pre: 8.4382, loss_aux0: 3.2054, loss_aux1: 2.8773, loss_aux2: 5.8472, loss_aux3: 7.4929
INFO train_amp.py(360): iter: 10/150000, lr: 0.000056, eta: 10 days, 12:04:59, time: 6.32, loss: 30.5328, loss_pre: 7.7990, loss_aux0: 2.8207, loss_aux1: 2.9197, loss_aux2: 6.4827, loss_aux3: 10.5108
INFO train_amp.py(360): iter: 11/150000, lr: 0.000056, eta: 10 days, 13:18:29, time: 6.40, loss: 29.0839, loss_pre: 8.5693, loss_aux0: 3.3596, loss_aux1: 3.4357, loss_aux2: 6.4386, loss_aux3: 7.2807
INFO train_amp.py(360): iter: 12/150000, lr: 0.000057, eta: 10 days, 14:26:35, time: 6.43, loss: 29.6926, loss_pre: 10.3364, loss_aux0: 3.0346, loss_aux1: 2.8864, loss_aux2: 6.0729, loss_aux3: 7.3624
INFO train_amp.py(360): iter: 13/150000, lr: 0.000057, eta: 10 days, 15:05:19, time: 6.32, loss: 26.8632, loss_pre: 7.4759, loss_aux0: 3.2446, loss_aux1: 2.9111, loss_aux2: 6.2095, loss_aux3: 7.0221
INFO train_amp.py(360): iter: 14/150000, lr: 0.000057, eta: 10 days, 15:59:12, time: 6.45, loss: 29.4584, loss_pre: 10.1199, loss_aux0: 3.6589, loss_aux1: 3.6000, loss_aux2: 5.8511, loss_aux3: 6.2286
