--------------+----------------------------------------------
 Host IP      | 127.0.1.1
 PyTorch      | 2.4.0a0+git4451b0e
 Torch-SDAA   | 2.0.0
--------------+----------------------------------------------
 SDAA Driver  | 2.2.0 (N/A)
 SDAA Runtime | 2.0.0 (/opt/tecoai/lib64/libsdaart.so)
 SDPTI        | 1.3.1 (/opt/tecoai/lib64/libsdpti.so)
 TecoDNN      | 2.0.0 (/opt/tecoai/lib64/libtecodnn.so)
 TecoBLAS     | 2.0.0 (/opt/tecoai/lib64/libtecoblas.so)
 CustomDNN    | 1.22.0 (/opt/tecoai/lib64/libtecodnn_ext.so)
 TecoRAND     | 1.8.0 (/opt/tecoai/lib64/libtecorand.so)
 TCCL         | 1.21.0 (/opt/tecoai/lib64/libtccl.so)
--------------+----------------------------------------------
train Pnet argument:
Namespace(annotation_file='/data/application/huangyun/dface/anno_store/imglist_anno_12.txt', model_store_path='/data/application/huangyun/dface/model_store', end_epoch=10, frequent=1, lr=0.01, batch_size=512, use_cuda=True, **{'': None})
append flipped images to imdb 1498328
2025-09-03 06:47:44.672301 : Epoch: 1, Step: 0, accuracy: 0.2499999850988388, det loss: 34.482967376708984, bbox loss: 88.77661895751953, all_loss: 78.87127685546875, lr:0.01 
2025-09-03 06:47:44.697095 : Epoch: 1, Step: 1, accuracy: 0.5728155374526978, det loss: 3.861207962036133, bbox loss: 494.3788146972656, all_loss: 251.0506134033203, lr:0.01 
2025-09-03 06:47:44.719301 : Epoch: 1, Step: 2, accuracy: 0.7477477788925171, det loss: 13.573040962219238, bbox loss: 147.82350158691406, all_loss: 87.48479461669922, lr:0.01 
2025-09-03 06:47:44.741625 : Epoch: 1, Step: 3, accuracy: 0.5625, det loss: 16.391878128051758, bbox loss: 83.32844543457031, all_loss: 58.05609893798828, lr:0.01 
2025-09-03 06:47:44.763972 : Epoch: 1, Step: 4, accuracy: 0.20795108377933502, det loss: 55.309329986572266, bbox loss: 559.9940795898438, all_loss: 335.3063659667969, lr:0.01 
2025-09-03 06:47:44.786196 : Epoch: 1, Step: 5, accuracy: 0.6451612710952759, det loss: 7.813328266143799, bbox loss: 44.144859313964844, all_loss: 29.885757446289062, lr:0.01 
2025-09-03 06:47:44.808209 : Epoch: 1, Step: 6, accuracy: 0.7809798121452332, det loss: 6.547786235809326, bbox loss: 74.69500732421875, all_loss: 43.89529037475586, lr:0.01 
2025-09-03 06:47:44.830505 : Epoch: 1, Step: 7, accuracy: 0.7970149517059326, det loss: 3.692200183868408, bbox loss: 79.98272705078125, all_loss: 43.683563232421875, lr:0.01 
2025-09-03 06:47:44.852738 : Epoch: 1, Step: 8, accuracy: 0.7684887051582336, det loss: 1.8481320142745972, bbox loss: 53.9275016784668, all_loss: 28.81188201904297, lr:0.01 
2025-09-03 06:47:44.874806 : Epoch: 1, Step: 9, accuracy: 0.7320871949195862, det loss: 1.7395540475845337, bbox loss: 25.396121978759766, all_loss: 14.437615394592285, lr:0.01 
2025-09-03 06:47:44.896809 : Epoch: 1, Step: 10, accuracy: 0.7236024737358093, det loss: 1.6837488412857056, bbox loss: 18.21050262451172, all_loss: 10.789000511169434, lr:0.01 
